Variable:,tasmax
Country:,Türkiye
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1962,4.96,5.17,12.62,15.22,22.28,26.43,30.42,31.02,26.69,19.52,15.90,7.71
1963,5.79,7.74,7.93,14.33,18.17,24.83,28.71,30.12,25.92,19.56,13.63,6.12
1964,0.67,3.67,9.82,14.90,19.57,24.97,28.87,28.12,24.80,21.13,12.57,6.45
1965,3.64,4.15,10.08,13.50,20.11,26.14,29.07,29.49,26.47,15.69,12.02,7.19
1966,6.30,9.57,10.68,16.55,20.41,25.89,29.83,30.31,24.71,21.49,15.76,7.01
1967,3.30,1.83,7.66,14.03,19.58,23.61,27.59,28.78,24.55,18.97,10.57,6.50
1968,2.54,4.81,8.86,17.82,22.54,24.23,29.46,27.54,24.48,18.48,12.48,6.27
1969,2.72,5.14,9.33,12.84,21.62,26.58,27.26,29.81,25.69,18.05,12.91,7.61
1970,6.00,8.07,11.66,19.00,20.67,25.92,29.35,28.59,24.85,17.36,13.17,4.41
1971,6.79,5.22,10.69,14.04,21.42,25.06,28.68,27.94,26.37,17.49,12.08,4.21
1972,0.02,2.22,9.68,17.13,19.70,24.55,28.64,28.62,25.25,19.21,11.15,4.73
1973,2.50,7.90,8.91,14.54,21.53,24.11,29.02,28.75,26.33,19.79,9.19,5.44
1974,0.62,4.90,10.40,13.30,21.00,26.60,28.80,27.77,23.84,22.65,12.07,5.07
1975,3.23,3.55,11.51,17.53,19.65,25.51,29.43,28.85,25.08,18.45,11.12,3.37
1976,3.05,1.72,8.39,14.35,19.39,24.25,27.45,27.56,24.04,18.62,13.22,6.48
1977,2.35,9.65,9.99,15.54,20.65,25.23,29.02,29.93,24.94,16.73,13.99,3.94
1978,4.11,8.16,10.86,14.32,21.39,24.99,30.03,27.80,24.54,19.73,10.17,6.80
1979,4.92,7.48,11.83,16.03,21.00,25.42,27.96,29.84,26.81,18.28,12.81,5.34
1980,1.50,3.50,8.40,13.86,20.30,26.00,30.70,28.96,24.05,19.76,12.73,6.97
1981,4.77,6.10,11.04,14.97,18.32,25.76,29.16,28.65,26.60,21.47,9.96,8.87
1982,4.79,3.26,7.89,15.24,20.14,25.11,26.79,28.05,25.84,18.56,9.97,5.78
1983,1.13,3.85,9.22,16.04,20.72,24.15,28.38,27.39,25.09,17.78,11.46,6.65
1984,5.59,6.32,9.70,13.52,21.03,25.51,28.25,26.43,27.02,20.43,10.92,2.93
1985,4.90,1.07,6.75,16.63,22.34,25.98,27.84,30.64,25.47,16.38,13.36,5.50
1986,5.48,6.53,10.84,18.21,17.95,24.74,29.85,30.97,26.63,18.65,9.14,5.54
1987,5.10,7.46,5.60,13.48,20.83,25.33,29.58,28.46,26.25,16.96,10.88,5.10
