,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1958,-5.85,-6.73,-4.03,1.90,6.32,13.08,14.48,14.68,11.32,6.25,2.49,-4.63
1959,-6.15,-0.38,2.17,3.53,9.26,13.88,16.43,16.05,10.03,5.27,1.39,-2.21
1960,-5.61,-6.03,0.32,3.95,10.45,13.84,15.72,14.97,10.43,1.87,-0.98,-3.28
1961,-4.85,-1.12,1.40,3.48,7.89,13.87,14.90,13.68,11.01,7.89,1.55,-4.80
1962,-3.17,-2.23,-4.20,3.14,6.50,11.06,13.48,12.29,8.94,5.87,-0.59,-4.62
1963,-5.88,-7.39,-2.59,3.31,10.51,13.68,14.46,14.67,10.76,5.30,-1.01,-2.68
1964,-0.96,-3.39,-0.04,3.71,9.20,11.40,13.72,13.19,8.73,5.35,-0.05,-2.30
1965,-4.49,-2.45,-1.60,3.34,6.69,12.63,13.20,13.07,10.69,5.74,-3.51,-7.45
1966,-8.72,-10.30,-2.54,0.47,7.36,15.44,15.09,13.53,8.06,3.41,-0.07,-3.15
1967,-6.88,-2.53,0.94,2.56,7.69,12.42,14.72,14.39,11.49,4.54,2.45,-5.25
1968,-6.87,-4.81,-0.39,3.78,6.27,13.93,14.36,14.94,9.95,2.24,-2.80,-2.82
1969,-4.65,-8.07,-2.12,2.99,7.92,15.18,15.26,18.04,9.85,5.58,-2.58,-4.86
1970,-6.82,-9.06,-1.79,0.67,9.41,16.76,14.32,15.54,9.06,4.60,-1.99,-1.53
1971,-3.15,-2.98,-3.02,2.19,8.86,12.72,14.90,14.40,9.53,4.70,-1.98,0.22
1972,-5.60,-3.95,-0.26,2.51,8.85,14.21,17.62,14.50,8.75,4.93,-0.64,0.88
1973,-0.58,-2.86,1.85,1.68,7.76,13.99,17.55,13.48,8.36,2.57,-2.36,-3.80
1974,-0.74,-1.34,0.80,4.81,9.94,14.44,14.17,14.23,10.46,2.84,-1.09,-0.79
1975,-1.43,-1.09,0.29,2.70,8.58,11.81,15.41,15.67,10.22,5.02,0.96,-0.29
1976,-5.88,-2.73,-1.78,2.64,10.36,13.05,15.86,16.06,7.95,3.08,-0.34,-5.06
1977,-6.23,-6.60,-0.24,0.57,7.69,12.05,14.48,14.49,8.46,4.80,-0.10,-1.64
1978,-4.23,-6.93,-1.89,2.20,9.44,14.23,14.87,13.80,7.87,4.56,0.98,-8.53
1979,-8.80,-5.68,-1.54,1.91,7.05,13.81,14.41,13.60,8.88,3.16,-1.17,-3.83
1980,-6.56,-6.41,-2.33,4.00,9.12,15.00,16.85,14.41,10.10,2.57,-3.36,-3.60
1981,-3.97,-4.67,-3.36,2.57,10.70,10.61,14.40,13.30,10.39,3.76,-1.16,-9.17
1982,-6.94,-2.19,0.23,3.10,7.68,11.71,16.31,15.02,9.48,4.65,0.75,-1.78
1983,-1.22,-3.39,-0.62,3.16,8.61,12.16,15.75,13.97,9.79,4.61,-1.11,-2.83
1984,-6.14,-2.49,-2.00,3.97,11.10,12.86,14.01,14.29,8.34,4.96,0.17,-0.64
1985,-8.22,-8.78,-1.73,1.45,8.41,12.79,15.51,13.96,8.13,6.29,-2.98,-6.74
1986,-8.40,-5.70,0.27,1.39,9.41,15.20,14.77,12.15,7.44,5.28,1.80,-4.88
1987,-9.59,-4.58,-3.58,3.51,7.17,10.63,14.53,11.95,8.86,6.81,-1.08,-2.52
1988,-2.44,-3.87,-2.88,1.46,10.00,15.44,16.18,14.06,10.54,4.20,-1.13,-2.11
1989,1.10,0.02,1.25,4.03,9.07,14.03,15.21,13.88,10.55,4.51,1.23,-2.99
1990,-2.50,1.42,1.82,4.74,9.54,13.88,15.07,15.03,9.17,5.35,-1.01,-0.12
1991,-2.04,-5.44,-0.10,4.33,7.29,10.99,16.47,15.58,9.41,4.38,0.55,0.37
1992,0.19,-0.27,0.86,1.67,11.17,16.59,14.21,12.75,10.22,0.79,-1.32,-0.14
1993,-1.14,-1.13,0.30,4.24,10.22,11.00,14.29,12.66,8.16,2.78,-1.81,-4.48
1994,-5.48,-6.49,-0.65,4.29,8.19,11.29,18.03,15.28,9.40,3.78,0.32,-0.16
1995,-2.29,-1.50,-0.25,2.28,7.64,12.81,14.71,14.93,9.98,6.05,-1.58,-5.88
1996,-3.87,-5.83,-0.58,3.69,6.39,12.10,13.95,17.29,9.52,5.49,-2.19,-4.47
1997,-2.26,-1.98,0.42,1.81,7.05,14.60,18.09,18.15,10.88,3.32,-1.16,-2.24
1998,-2.54,-2.05,-1.28,2.22,8.48,11.67,14.65,12.97,10.30,3.68,-3.22,-2.31
1999,-4.49,-3.58,-0.88,4.38,7.82,13.47,15.55,14.24,12.35,5.09,2.86,-4.31
2000,-0.87,-1.34,-0.03,3.91,10.13,11.68,14.61,13.79,10.59,7.12,2.16,-2.00
2001,-2.49,-5.22,-2.36,2.84,8.40,13.13,15.71,14.68,10.18,6.05,0.13,-3.97
2002,-2.81,-1.56,0.52,5.48,11.46,15.59,16.48,17.92,11.13,1.88,-3.18,-5.40
2003,-5.59,-1.86,1.26,4.77,9.02,14.00,18.63,15.62,10.91,3.67,0.97,-1.48
2004,-4.81,-2.47,0.89,6.03,9.68,12.70,15.90,16.37,10.64,4.78,-0.31,-0.04
2005,-1.12,-2.85,-0.68,5.36,7.67,13.15,17.31,14.60,10.90,6.81,2.04,-2.62
2006,-2.77,-3.30,-3.28,3.71,10.09,14.09,17.67,17.12,12.03,5.30,1.64,1.51
2007,-2.11,-5.39,2.85,5.34,8.49,15.18,15.58,15.08,9.29,6.06,-0.04,-0.40
2008,-1.33,-0.34,-0.80,4.31,9.80,14.00,17.08,14.08,10.18,5.23,0.46,-1.54
2009,-2.86,-5.14,0.01,5.66,10.68,13.43,15.84,16.05,11.39,3.46,1.30,-4.22
2010,-7.52,-7.23,-1.14,4.32,8.83,12.45,16.40,14.49,10.54,5.11,-4.02,-7.23
2011,-3.48,-5.47,0.32,6.86,9.63,14.62,16.07,15.09,11.53,6.59,3.42,-0.13
2012,-3.53,-3.09,2.67,2.81,8.87,11.95,14.55,14.71,9.73,3.78,1.17,-6.01
2013,-4.13,-3.62,-2.24,3.26,11.78,14.29,16.51,16.02,11.58,5.70,1.21,0.71
2014,-4.79,-0.01,2.05,5.25,9.56,13.92,18.71,15.76,11.73,6.24,1.40,-1.63
2015,-2.68,-1.22,2.20,4.42,7.89,11.77,14.27,16.70,11.55,6.01,2.00,0.77
2016,-5.97,-1.85,1.08,3.82,11.12,13.92,16.25,14.34,12.25,4.83,-0.77,0.51
2017,-1.56,-2.45,0.79,3.07,8.38,13.23,15.41,14.20,10.87,5.51,0.00,-2.11
2018,-3.23,-4.87,-2.80,4.72,12.97,13.72,19.10,15.25,11.15,5.40,2.00,-1.55
2019,-4.29,-1.42,0.14,6.75,8.29,14.12,16.03,15.42,10.11,3.43,-2.07,-0.43
2020,0.07,-0.53,0.81,3.92,8.02,17.12,14.77,15.86,11.12,5.72,3.15,-0.16
2021,-5.56,-4.42,1.13,3.57,8.35,15.54,17.72,14.71,10.66,6.17,0.39,-3.70
